flow,hs_code,year,partner_rows,partners_full_year,partners_with_any_months,partners_imputed_zero,avg_months_present,pct_full_year,pct_with_any_months
export,0901,2010,183,66,124,59,6.907103825136612,0.360656,0.677596
export,0901,2011,183,78,120,63,6.934426229508197,0.42623,0.655738
export,0901,2012,183,77,120,63,7.1256830601092895,0.420765,0.655738
export,0901,2013,183,82,126,57,7.295081967213115,0.448087,0.688525
export,0901,2014,183,81,126,57,7.355191256830601,0.442623,0.688525
export,0901,2015,183,82,130,53,7.644808743169399,0.448087,0.710383
export,0901,2016,183,84,126,57,7.398907103825136,0.459016,0.688525
export,0901,2017,183,82,131,52,7.51912568306011,0.448087,0.715847
export,0901,2018,183,83,132,51,7.683060109289618,0.453552,0.721311
export,0901,2019,183,85,124,59,7.251366120218579,0.464481,0.677596
export,0901,2020,183,87,122,61,7.169398907103825,0.47541,0.666667
export,0901,2021,183,83,119,64,7.016393442622951,0.453552,0.650273
export,0901,2022,183,86,124,59,7.387978142076503,0.469945,0.677596
export,0901,2023,183,86,127,56,7.469945355191257,0.469945,0.693989
export,0901,2024,183,82,122,61,7.180327868852459,0.448087,0.666667
export,0901,2025,183,0,125,58,6.85792349726776,0.0,0.68306
import,0901,2010,182,80,115,67,6.8791208791208796,0.43956,0.631868
import,0901,2011,182,82,117,65,6.84065934065934,0.450549,0.642857
import,0901,2012,182,85,121,61,7.170329670329671,0.467033,0.664835
import,0901,2013,182,81,112,70,6.670329670329671,0.445055,0.615385
import,0901,2014,182,87,116,66,6.835164835164835,0.478022,0.637363
import,0901,2015,182,83,120,62,6.956043956043956,0.456044,0.659341
import,0901,2016,182,87,123,59,7.181318681318682,0.478022,0.675824
import,0901,2017,182,88,125,57,7.412087912087912,0.483516,0.686813
import,0901,2018,182,90,122,60,7.313186813186813,0.494505,0.67033
import,0901,2019,182,87,120,62,7.269230769230769,0.478022,0.659341
import,0901,2020,182,87,124,58,7.208791208791209,0.478022,0.681319
import,0901,2021,182,90,124,58,7.4010989010989015,0.494505,0.681319
import,0901,2022,182,92,128,54,7.741758241758242,0.505495,0.703297
import,0901,2023,182,89,127,55,7.604395604395604,0.489011,0.697802
import,0901,2024,182,94,125,57,7.5054945054945055,0.516484,0.686813
import,0901,2025,182,0,118,64,6.752747252747253,0.0,0.648352
